name|set|set_code|type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|color|generated_mana|number|rarity|ruling|variation|ability|watermark|name_FR
Breath of Malfegor|Media Inserts|MBP|Instant||||{3}{B}{R}|5|Alex Horley-Orlandelli|#_The draconic demon loomed over Dack, and he suddenly sensed he wasn't the only Planeswalker that Malfegor had encountered._#|RB||58|R|||Breath of Malfegor deals 5 damage to each opponent.||
Brion Stoutarm|Media Inserts|MBP|Legendary Creature — Giant Warrior|4|4||{2}{R}{W}|4|Zoltan Boros & Gabor Szikszai||WR||17|R|||Lifelink£{R}, {T}, Sacrifice a creature other than Brion Stoutarm: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player.||
Broodmate Dragon|Media Inserts|MBP|Creature — Dragon|4|4||{3}{B}{R}{G}|6|Vance Kovacs|#_Frozen in fear, the goblins stared upward at the circling hunter—and were promptly eaten by its diving mate._#|GRB||19|R|||Flying£When Broodmate Dragon enters the battlefield, put a 4/4 red Dragon creature token with flying onto the battlefield.||
Cathedral of War|Media Inserts|MBP|Land|||||0|Franz Vohwinkel||L|{X}|51|R|||Cathedral of War enters the battlefield tapped.£Exalted #_(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)_#£{T}: Add {1} to your mana pool.||
Celestial Colonnade|Media Inserts|MBP|Land|||||0|Kekai Kotaki||L|{W}{U}|23|R|"£3/1/2010: A land that becomes a creature may be affected by ""summoning sickness."" You can't attack with it or use any of its {T} abilities (including its mana abilities) unless it began your most recent turn on the battlefield under your control. Note that summoning sickness cares about when that permanent came under your control, not when it became a creature.££3/1/2010: When a land becomes a creature, that doesn't count as having a creature enter the battlefield. The permanent was already on the battlefield; it only changed its types. Abilities that trigger whenever a creature enters the battlefield won't trigger.££3/1/2010: The enchanted permanent will be both a land and a creature and can be affected by anything that affects either a land or a creature.££3/1/2010: When a land becomes a creature, that doesn't count as having a creature enter the battlefield. The permanent was already on the battlefield; it only changed its types. Abilities that trigger whenever a creature enters the battlefield won't trigger.££3/1/2010: An attacking or blocking creature that stops being a creature is removed from combat. This can happen if a Zendikon enchanting an attacking or blocking creature leaves the battlefield, for example. The permanent that was removed from combat neither deals nor is dealt combat damage. Any attacking creature that the land creature was blocking remains blocked, however.££3/1/2010: An ability that turns a land into a creature also sets that creature's power and toughness. If the land was already a creature (due to a Zendikon already enchanting it or its animation ability resolving earlier in the turn, for example), this will overwrite the previous effect that set its power and toughness. Effects that modified its power or toughness, such as the effects of Disfigure or Glorious Anthem, will continue to apply, no matter when they started to take effect. The same is true for counters that change its power or toughness (such as +1/+1 counters) and effects that switch its power and toughness.££3/1/2010: If a Zendikon and the land it's enchanting are destroyed at the same time (due to Akroma's Vengeance, for example), the Zendikon's last ability will still trigger.££3/1/2010: If a Zendikon's last ability triggers, but the land card it refers to leaves the graveyard before it resolves, it will resolve but do nothing."||Celestial Colonnade enters the battlefield tapped.£{T}: Add {W} or {U} to your mana pool.£{3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.||
Chandra's Fury|Media Inserts|MBP|Instant||||{4}{R}|5|Volkan Baga|#_www.MagicTheGathering.com_#|R||65|R|£7/1/2012: <u>Chandra's Fury</u> targets only the player, not any creature. <u>Chandra's Fury</u> will deal 1 damage to a creature with hexproof, for example.||Chandra's Fury deals 4 damage to target player and 1 damage to each creature that player controls.||
Chandra's Phoenix|Media Inserts|MBP|Creature — Phoenix|2|2||{1}{R}{R}|3|Steve Argyle||R||37|R|||Flying£Haste #_(This creature can attack and {T} as soon as it comes under your control.)_#£Whenever an opponent is dealt damage by a red instant or sorcery spell you control or by a red planeswalker you control, return Chandra's Phoenix from your graveyard to your hand.||
Chandra, Pyromaster|Media Inserts|MBP|Planeswalker — Chandra|||4|{2}{R}{R}|4|Steve Prescott||R||75|R|£7/1/2013: To activate the first ability, you must target a player but you can choose to not target any creatures.££7/1/2013: If a creature is targeted by the first ability, it won’t be able to block even if the damage is prevented.££7/1/2013: The card exiled by the second ability is exiled face up. Playing it follows the normal rules for playing that card. You must pay its costs, and you must follow all applicable timing rules. For example, if it’s a creature card, you can cast it only during your main phase while the stack is empty.££7/1/2013: If you exile a land card using the second ability, you may play that land only if you have any available land plays. Normally, this means you can play the land only if you haven’t played a land yet that turn.££7/1/2013: In the third ability, “exiled this way” means the cards you just exiled because of that ability resolving. Cards exiled with the second ability or with previous activations of the third ability don’t count.££7/1/2013: While resolving the third ability, you create the copies of the card in exile and cast them from exile. You can cast zero, one, two, or all three copies. The card itself isn’t cast. It remains exiled.££7/1/2013: While casting the copies for the third ability, timing restrictions based on the card’s type (such as sorcery) are ignored. Other restrictions, such as “Cast [this spell] only during combat,” are not.££7/1/2013: Because you’re playing the copies “without paying their mana costs,” you can’t pay any alternative costs for the copies. You can pay additional costs, such as kicker costs. If the copies have any mandatory additional costs, you must pay those.££7/1/2013: If the copied card has {X} in its mana cost, you must choose 0 as its value when casting the copies.££7/1/2013: Planeswalkers are permanents. You can cast one at the time you could cast a sorcery. When your planeswalker spell resolves, it enters the battlefield under your control.££7/1/2013: Planeswalkers are not creatures. Spells and abilities that affect creatures won’t affect them.££7/1/2013: Planeswalkers have loyalty. A planeswalker enters the battlefield with a number of loyalty counters on it equal to the number printed in its lower right corner. Activating one of its abilities may cause it to gain or lose loyalty counters. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it. If it has no loyalty counters on it, it’s put into its owner’s graveyard as a state-based action.££7/1/2013: Planeswalkers each have a number of activated abilities called “loyalty abilities.” You can activate a loyalty ability of a planeswalker you control only at the time you could cast a sorcery and only if you haven’t activated one of that planeswalker’s loyalty abilities yet that turn.££7/1/2013: The cost to activate a planeswalker’s loyalty ability is represented by a symbol with a number inside. Up-arrows contain positive numbers, such as “+1”; this means “Put one loyalty counter on this planeswalker.” Down-arrows contain negative numbers, such as “-7”; this means “Remove seven loyalty counters from this planeswalker.” A symbol with a “0” means “Put zero loyalty counters on this planeswalker.”££7/1/2013: You can’t activate a planeswalker’s ability with a negative loyalty cost unless the planeswalker has at least that many loyalty counters on it.££7/1/2013: Planeswalkers can’t attack (unless an effect turns the planeswalker into a creature). However, they can be attacked. Each of your attacking creatures can attack your opponent or a planeswalker that player controls. You say which as you declare attackers.££7/1/2013: If your planeswalkers are being attacked, you can block the attackers as normal.££7/1/2013: If a creature that’s attacking a planeswalker isn’t blocked, it’ll deal its combat damage to that planeswalker. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it.££7/1/2013: If a source you control would deal noncombat damage to an opponent, you may have that source deal that damage to a planeswalker that opponent controls instead. For example, although you can’t target a planeswalker with Shock, you can target your opponent with Shock, and then as Shock resolves, choose to have Shock deal its 2 damage to one of your opponent’s planeswalkers. (You can’t split up that damage between different players and/or planeswalkers.) If you have Shock deal its damage to a planeswalker, two loyalty counters are removed from it.££7/1/2013: If a player controls two or more planeswalkers that share a planeswalker type, that player chooses one of them and the rest are put into their owners’ graveyards as a state-based action.||+1: Chandra, Pyromaster deals 1 damage to target player and 1 damage to up to one target creature that player controls. That creature can't block this turn.£0: Exile the top card of your library. You may play it this turn.£-7: Exile the top ten cards of your library. Choose an instant or sorcery card exiled this way and copy it three times. You may cast the copies without paying their mana costs.||
Consume Spirit|Media Inserts|MBP|Sorcery||||{X}{1}{B}|2|Dan Scott|"#_""You clerics brag about your strength of spirit, yet I take away the tiniest fragment, and you crumple like a rag doll.""£—Sorin Markov_#"|B||54|R|£10/1/2009: The amount of life you gain is equal to the number chosen for X, not the amount of damage <u>Consume Spirit</u> deals (in case some of it is prevented).££10/1/2009: If the targeted creature or player is an illegal target by the time <u>Consume Spirit</u> would resolve, the entire spell is countered. You won't gain any life.||Spend only black mana on X.£Consume Spirit deals X damage to target creature or player and you gain X life.||
Corrupt|Media Inserts|MBP|Sorcery||||{5}{B}|6|Alex Horley-Orlandelli||B||64|R|£10/4/2004: The swamps are counted on resolution.££8/15/2010: The life you gain is equal to the damage dealt by <u>Corrupt</u>, not necessarily to the number of Swamps you control (if some or all of the damage is prevented, for example).££8/15/2010: The amount of damage dealt to a creature is not bounded by its toughness, and the amount of damage dealt to a player is not bounded by that player's life total. For example, if <u>Corrupt</u> deals 6 damage to a 2/2 creature, you'll gain 6 life.££7/1/2013: <u>Corrupt</u> counts any land you control with the subtype Swamp, not just ones named Swamp.||Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.||
Day of Judgment|Media Inserts|MBP|Sorcery||||{2}{W}{W}|4|Kev Walker|"#_""I have seen planes leveled and all life rendered to dust. It brought no pleasure, even to a heart as dark as mine.""—Sorin Markov_#"|W||22|R|||Destroy all creatures.||
Devil's Play|Media Inserts|MBP|Sorcery||||{X}{R}|1|Raymond Swanland|#_A devil's hands are never idle._#|R||40|R|||Devil's Play deals X damage to target creature or player.£Flashback {X}{R}{R}{R} #_(You may cast this card from your graveyard for its flashback cost. Then exile it.)_#||
Dreg Mangler|Media Inserts|MBP|Creature — Plant Zombie|3|3||{1}{B}{G}|3|Svetlin Velinov||GB||55|R|£4/15/2013: Exiling the creature card with scavenge is part of the cost of activating the scavenge ability. Once the ability is activated and the cost is paid, it's too late to stop the ability from being activated by trying to remove the creature card from the graveyard.||Haste£Scavenge {3}{B}{G} #_({3}{B}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)_#||
Electrolyze|Media Inserts|MBP|Instant||||{1}{U}{R}|3|Karl Kopinski||UR||42|R|£2/1/2006: If all chosen targets are illegal as <u>Electrolyze</u> tries to resolve, it will be countered and none of its effects will happen. No damage will be dealt and you won't draw a card.||Electrolyze deals 2 damage divided as you choose among one or two target creatures and/or players.£Draw a card.||
Faithless Looting|Media Inserts|MBP|Sorcery||||{R}|1|Karl Kopinski|"#_""Avacyn has abandoned us! We have nothing left except what we can take!""_#"|R||39|R|||Draw two cards, then discard two cards.£Flashback {2}{R} #_(You may cast this card from your graveyard for its flashback cost. Then exile it.)_#||
Feast of Blood|Media Inserts|MBP|Sorcery||||{1}{B}|2|Christopher Moeller|#_Imbued in the Ancient Fang were spells far darker than any Dack Fayden would cast._#|B||43|R|£10/1/2009: Whether you control two or more Vampires is checked only as you try to move <u>Feast of Blood</u> to the stack as the first step of casting it. It doesn't matter whether you still control two or more Vampires as you finish casting <u>Feast of Blood</u> (in case you somehow sacrifice one to produce mana) or as <u>Feast of Blood</u> resolves.££10/1/2009: If the targeted creature is an illegal target by the time <u>Feast of Blood</u> resolves, the entire spell is countered. You don't gain life.||Cast Feast of Blood only if you control two or more Vampires.£Destroy target creature. You gain 4 life.||
Fireball|Media Inserts|MBP|Sorcery||||{X}{R}|1|Mark Tedin||R||4|R|£12/1/2004: The additional cost is paid when you pay the rest of <u>Fireball</u>'s costs, even though that text appears second on the card (to make the card easier to read). The additional cost doesn't count toward <u>Fireball</u>'s converted mana cost.££12/1/2004: If, for example, X is 5 and you choose three target creatures, <u>Fireball</u> has a total cost of {7}{R} (even though its mana cost is just {5}{R}). If those creatures are all still legal targets as <u>Fireball</u> resolves, it deals 1 damage to each of them.££5/1/2009: You may cast <u>Fireball</u> with zero targets, regardless of the value chosen for X. If you do so, it will not be a targeted spell, and no damage will actually be dealt when it resolves.££10/1/2009: <u>Fireball</u>'s damage is divided as <u>Fireball</u> resolves, not as it's cast, because there are no choices involved. The division involves only targets that are still legal at that time.££10/1/2009: You can target more than X creatures. However, if the number of legal targets at the time <u>Fireball</u> resolves is greater than X, none of them will be dealt any damage.||Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.£Fireball costs {1} more to cast for each target beyond the first.||
Frost Titan|Media Inserts|MBP|Creature — Giant|6|6||{4}{U}{U}|6|Mike Sass||U||34|R|£8/15/2010: <u>Frost Titan</u>'s first ability affects each spell (including Aura spells), activated ability, and triggered ability that's controlled by an opponent and that <u>Frost Titan</u> becomes a target of.££8/15/2010: You may target any permanent with <u>Frost Titan</u>'s second ability. It's okay if that permanent is already tapped.££8/15/2010: If the permanent affected by <u>Frost Titan</u>'s second ability is untapped at the time that permanent's controller's next untap step begins, the last part of <u>Frost Titan</u>'s second ability has no effect.££8/15/2010: If the permanent affected by <u>Frost Titan</u>'s second ability changes controllers before its old controller's next untap step, <u>Frost Titan</u>'s second ability will prevent it from being untapped during its new controller's next untap step.||Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {2}.£Whenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesn't untap during its controller's next untap step.||
Garruk Wildspeaker|Media Inserts|MBP|Planeswalker — Garruk|||3|{2}{G}{G}|4|Nils Hamm||G||16|R|£10/1/2009: The first ability can target any two lands. They don't have to be tapped.££10/1/2009: The third ability affects only creatures you control at the time it resolves. It won't affect creatures that come under your control later in the turn.££7/1/2013: Planeswalkers are permanents. You can cast one at the time you could cast a sorcery. When your planeswalker spell resolves, it enters the battlefield under your control.££7/1/2013: Planeswalkers are not creatures. Spells and abilities that affect creatures won’t affect them.££7/1/2013: Planeswalkers have loyalty. A planeswalker enters the battlefield with a number of loyalty counters on it equal to the number printed in its lower right corner. Activating one of its abilities may cause it to gain or lose loyalty counters. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it. If it has no loyalty counters on it, it’s put into its owner’s graveyard as a state-based action.££7/1/2013: Planeswalkers each have a number of activated abilities called “loyalty abilities.” You can activate a loyalty ability of a planeswalker you control only at the time you could cast a sorcery and only if you haven’t activated one of that planeswalker’s loyalty abilities yet that turn.££7/1/2013: The cost to activate a planeswalker’s loyalty ability is represented by a symbol with a number inside. Up-arrows contain positive numbers, such as “+1”; this means “Put one loyalty counter on this planeswalker.” Down-arrows contain negative numbers, such as “-7”; this means “Remove seven loyalty counters from this planeswalker.” A symbol with a “0” means “Put zero loyalty counters on this planeswalker.”££7/1/2013: You can’t activate a planeswalker’s ability with a negative loyalty cost unless the planeswalker has at least that many loyalty counters on it.££7/1/2013: Planeswalkers can’t attack (unless an effect turns the planeswalker into a creature). However, they can be attacked. Each of your attacking creatures can attack your opponent or a planeswalker that player controls. You say which as you declare attackers.££7/1/2013: If your planeswalkers are being attacked, you can block the attackers as normal.££7/1/2013: If a creature that’s attacking a planeswalker isn’t blocked, it’ll deal its combat damage to that planeswalker. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it.££7/1/2013: If a source you control would deal noncombat damage to an opponent, you may have that source deal that damage to a planeswalker that opponent controls instead. For example, although you can’t target a planeswalker with Shock, you can target your opponent with Shock, and then as Shock resolves, choose to have Shock deal its 2 damage to one of your opponent’s planeswalkers. (You can’t split up that damage between different players and/or planeswalkers.) If you have Shock deal its damage to a planeswalker, two loyalty counters are removed from it.££7/1/2013: If a player controls two or more planeswalkers that share a planeswalker type, that player chooses one of them and the rest are put into their owners’ graveyards as a state-based action.||+1: Untap two target lands.£-1: Put a 3/3 green Beast creature token onto the battlefield.£-4: Creatures you control get +3/+3 and gain trample until end of turn.||
Garruk, Caller of Beasts|Media Inserts|MBP|Planeswalker — Garruk|||4|{4}{G}{G}|6|Steve Prescott||G||76|R|£7/1/2013: You choose what green creature card to put onto the battlefield, if any, when the second ability resolves.££7/1/2013: If you have Garruk’s emblem, the creature card you search for will be put onto the battlefield before the creature spell you cast resolves. The creature card you put onto the battlefield isn’t cast, so the ability of the emblem won’t retrigger.££7/1/2013: Planeswalkers are permanents. You can cast one at the time you could cast a sorcery. When your planeswalker spell resolves, it enters the battlefield under your control.££7/1/2013: Planeswalkers are not creatures. Spells and abilities that affect creatures won’t affect them.££7/1/2013: Planeswalkers have loyalty. A planeswalker enters the battlefield with a number of loyalty counters on it equal to the number printed in its lower right corner. Activating one of its abilities may cause it to gain or lose loyalty counters. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it. If it has no loyalty counters on it, it’s put into its owner’s graveyard as a state-based action.££7/1/2013: Planeswalkers each have a number of activated abilities called “loyalty abilities.” You can activate a loyalty ability of a planeswalker you control only at the time you could cast a sorcery and only if you haven’t activated one of that planeswalker’s loyalty abilities yet that turn.££7/1/2013: The cost to activate a planeswalker’s loyalty ability is represented by a symbol with a number inside. Up-arrows contain positive numbers, such as “+1”; this means “Put one loyalty counter on this planeswalker.” Down-arrows contain negative numbers, such as “-7”; this means “Remove seven loyalty counters from this planeswalker.” A symbol with a “0” means “Put zero loyalty counters on this planeswalker.”££7/1/2013: You can’t activate a planeswalker’s ability with a negative loyalty cost unless the planeswalker has at least that many loyalty counters on it.££7/1/2013: Planeswalkers can’t attack (unless an effect turns the planeswalker into a creature). However, they can be attacked. Each of your attacking creatures can attack your opponent or a planeswalker that player controls. You say which as you declare attackers.££7/1/2013: If your planeswalkers are being attacked, you can block the attackers as normal.££7/1/2013: If a creature that’s attacking a planeswalker isn’t blocked, it’ll deal its combat damage to that planeswalker. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it.££7/1/2013: If a source you control would deal noncombat damage to an opponent, you may have that source deal that damage to a planeswalker that opponent controls instead. For example, although you can’t target a planeswalker with Shock, you can target your opponent with Shock, and then as Shock resolves, choose to have Shock deal its 2 damage to one of your opponent’s planeswalkers. (You can’t split up that damage between different players and/or planeswalkers.) If you have Shock deal its damage to a planeswalker, two loyalty counters are removed from it.££7/1/2013: If a player controls two or more planeswalkers that share a planeswalker type, that player chooses one of them and the rest are put into their owners’ graveyards as a state-based action.||"+1: Reveal the top five cards of your library. Put all creature cards revealed this way into your hand and the rest on the bottom of your library in any order.£-3: You may put a green creature card from your hand onto the battlefield.£-7: You get an emblem with ""Whenever you cast a creature spell, you may search your library for a creature card, put it onto the battlefield, then shuffle your library."""||
Giant Badger|Media Inserts|MBP|Creature — Badger|2|2||{1}{G}{G}|3|Liz Danforth|#_The wizard Greensleeves called a Giant Badger to her aid in an battle with the desert mage Karli._#|G||8|R|||Whenever Giant Badger blocks, it gets +2/+2 until end of turn.||Blaireau géant
Grave Titan|Media Inserts|MBP|Creature — Giant|6|6||{4}{B}{B}|6|Nils Hamm (Lucas Graciano)|#_Death in form and function._#|B||35|R|||Deathtouch£Whenever Grave Titan enters the battlefield or attacks, put two 2/2 black Zombie creature tokens onto the battlefield.||
Gravecrawler|Media Inserts|MBP|Creature — Zombie|2|1||{B}|1|Dave Kendall|"#_""Innistrad's ghoulcallers are talented enough, but let me show you what someone with real power can create.""£—Liliana Vess_#"|B||41|R|£1/22/2011: <u>Gravecrawler</u>'s ability doesn't change when you could cast it.££1/22/2011: Once you've cast <u>Gravecrawler</u> and it's on the stack, it doesn't matter if you lose control of the other Zombie.||Gravecrawler can't block.£You may cast Gravecrawler from your graveyard as long as you control a Zombie.||
Guul Draz Assassin|Media Inserts|MBP|Creature — Vampire Assassin|1|1||{B}|1|Jason A. Engle||B||26|R|£6/15/2010: The abilities a leveler grants to itself don't overwrite any other abilities it may have. In particular, they don't overwrite the creature's level up ability; it always has that.££6/15/2010: Effects that set a leveler's power or toughness to a specific value, including the effects from a level symbol's ability, apply in timestamp order. The timestamp of each level symbol's ability is the same as the timestamp of the leveler itself, regardless of when the most recent level counter was put on it.££6/15/2010: Effects that modify a leveler's power or toughness, such as the effects of Giant Growth or Glorious Anthem, will apply to it no matter when they started to take effect. The same is true for counters that change the creature's power or toughness (such as +1/+1 counters) and effects that switch its power and toughness.££6/15/2010: If another creature becomes a copy of a leveler, all of the leveler's printed abilities -- including those represented by level symbols -- are copied. The current characteristics of the leveler, and the number of level counters on it, are not. The abilities, power, and toughness of the copy will be determined based on how many level counters are on the copy.££6/15/2010: A creature's level is based on how many level counters it has on it, not how many times its level up ability has been activated or has resolved. If a leveler gets level counters due to some other effect (such as Clockspinning) or loses level counters for some reason (such as Vampire Hexmage), its level is changed accordingly.||Level up {1}{B} #_({1}{B}: Put a level counter on this. Level up only as a sorcery.)_#£LEVEL 2-3£2/2£{B}, {T}: Target creature gets -2/-2 until end of turn.£LEVEL 4+£4/4£{B}, {T}: Target creature gets -4/-4 until end of turn.||
Hamletback Goliath|Media Inserts|MBP|Creature — Giant Warrior|6|6||{6}{R}|7|Parente & Brian Snoddy|"#_""If you live on a giant's back, there's only one individual you'll ever need to fear.""£—Gaddock Teeg_#"|R||71|R|£7/1/2012: The value of X is determined as the ability begins resolving. If the other creature is no longer on the battlefield, its last known existence on the battlefield is checked to determine its power.||Whenever another creature enters the battlefield, you may put X +1/+1 counters on Hamletback Goliath, where X is that creature's power.||
Honor of the Pure|Media Inserts|MBP|Enchantment||||{1}{W}|2|Ralph Horsley|#_Together the soldiers were like a golden blade, cutting down their enemies and scarring the darkness._#|W||20|R|||White creatures you control get +1/+1.||
Inferno Titan|Media Inserts|MBP|Creature — Giant|6|6||{4}{R}{R}|6|Sam Burley||R||36|R|£8/15/2010: You divide the damage as you put <u>Inferno Titan</u>'s triggered ability on the stack, not as it resolves. Each target must be assigned at least 1 damage. (In other words, as you put the ability on the stack, you choose whether to have it deal 3 damage to a single target, 2 damage to one target and 1 damage to another target, or 1 damage to each of three targets.)||{R}: Inferno Titan gets +1/+0 until end of turn.£Whenever Inferno Titan enters the battlefield or attacks, it deals 3 damage divided as you choose among one, two, or three target creatures and/or players.||
Jace Beleren|Media Inserts|MBP|Planeswalker — Jace|||3|{1}{U}{U}|3|Aleksi Briclot||U||15|R|£10/1/2009: If there are fewer than twenty cards in the targeted player's library, that player puts all the cards from his or her library into his or her graveyard.££7/1/2013: Planeswalkers are permanents. You can cast one at the time you could cast a sorcery. When your planeswalker spell resolves, it enters the battlefield under your control.££7/1/2013: Planeswalkers are not creatures. Spells and abilities that affect creatures won’t affect them.££7/1/2013: Planeswalkers have loyalty. A planeswalker enters the battlefield with a number of loyalty counters on it equal to the number printed in its lower right corner. Activating one of its abilities may cause it to gain or lose loyalty counters. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it. If it has no loyalty counters on it, it’s put into its owner’s graveyard as a state-based action.££7/1/2013: Planeswalkers each have a number of activated abilities called “loyalty abilities.” You can activate a loyalty ability of a planeswalker you control only at the time you could cast a sorcery and only if you haven’t activated one of that planeswalker’s loyalty abilities yet that turn.££7/1/2013: The cost to activate a planeswalker’s loyalty ability is represented by a symbol with a number inside. Up-arrows contain positive numbers, such as “+1”; this means “Put one loyalty counter on this planeswalker.” Down-arrows contain negative numbers, such as “-7”; this means “Remove seven loyalty counters from this planeswalker.” A symbol with a “0” means “Put zero loyalty counters on this planeswalker.”££7/1/2013: You can’t activate a planeswalker’s ability with a negative loyalty cost unless the planeswalker has at least that many loyalty counters on it.££7/1/2013: Planeswalkers can’t attack (unless an effect turns the planeswalker into a creature). However, they can be attacked. Each of your attacking creatures can attack your opponent or a planeswalker that player controls. You say which as you declare attackers.££7/1/2013: If your planeswalkers are being attacked, you can block the attackers as normal.££7/1/2013: If a creature that’s attacking a planeswalker isn’t blocked, it’ll deal its combat damage to that planeswalker. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it.££7/1/2013: If a source you control would deal noncombat damage to an opponent, you may have that source deal that damage to a planeswalker that opponent controls instead. For example, although you can’t target a planeswalker with Shock, you can target your opponent with Shock, and then as Shock resolves, choose to have Shock deal its 2 damage to one of your opponent’s planeswalkers. (You can’t split up that damage between different players and/or planeswalkers.) If you have Shock deal its damage to a planeswalker, two loyalty counters are removed from it.££7/1/2013: If a player controls two or more planeswalkers that share a planeswalker type, that player chooses one of them and the rest are put into their owners’ graveyards as a state-based action.||+2: Each player draws a card.£-1: Target player draws a card.£-10: Target player puts the top twenty cards of his or her library into his or her graveyard.||
Jace, Memory Adept|Media Inserts|MBP|Planeswalker — Jace|||4|{3}{U}{U}|5|Steve Prescott||U||73|R|£9/22/2011: If you target yourself with Jace's first ability, you'll draw a card first, then put the top card of your library into your graveyard.££9/22/2011: If you activate Jace's first ability, and the player is an illegal target when the ability tries to resolve, it will be countered and none of its effects will happen. You won't draw a card.££9/22/2011: If Jace's third ability causes a player to draw more cards than are left in his or her library, that player loses the game as a state-based action. If this ability causes all players to do this, the game is a draw.££7/1/2013: Planeswalkers are permanents. You can cast one at the time you could cast a sorcery. When your planeswalker spell resolves, it enters the battlefield under your control.££7/1/2013: Planeswalkers are not creatures. Spells and abilities that affect creatures won’t affect them.££7/1/2013: Planeswalkers have loyalty. A planeswalker enters the battlefield with a number of loyalty counters on it equal to the number printed in its lower right corner. Activating one of its abilities may cause it to gain or lose loyalty counters. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it. If it has no loyalty counters on it, it’s put into its owner’s graveyard as a state-based action.££7/1/2013: Planeswalkers each have a number of activated abilities called “loyalty abilities.” You can activate a loyalty ability of a planeswalker you control only at the time you could cast a sorcery and only if you haven’t activated one of that planeswalker’s loyalty abilities yet that turn.££7/1/2013: The cost to activate a planeswalker’s loyalty ability is represented by a symbol with a number inside. Up-arrows contain positive numbers, such as “+1”; this means “Put one loyalty counter on this planeswalker.” Down-arrows contain negative numbers, such as “-7”; this means “Remove seven loyalty counters from this planeswalker.” A symbol with a “0” means “Put zero loyalty counters on this planeswalker.”££7/1/2013: You can’t activate a planeswalker’s ability with a negative loyalty cost unless the planeswalker has at least that many loyalty counters on it.££7/1/2013: Planeswalkers can’t attack (unless an effect turns the planeswalker into a creature). However, they can be attacked. Each of your attacking creatures can attack your opponent or a planeswalker that player controls. You say which as you declare attackers.££7/1/2013: If your planeswalkers are being attacked, you can block the attackers as normal.££7/1/2013: If a creature that’s attacking a planeswalker isn’t blocked, it’ll deal its combat damage to that planeswalker. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it.££7/1/2013: If a source you control would deal noncombat damage to an opponent, you may have that source deal that damage to a planeswalker that opponent controls instead. For example, although you can’t target a planeswalker with Shock, you can target your opponent with Shock, and then as Shock resolves, choose to have Shock deal its 2 damage to one of your opponent’s planeswalkers. (You can’t split up that damage between different players and/or planeswalkers.) If you have Shock deal its damage to a planeswalker, two loyalty counters are removed from it.££7/1/2013: If a player controls two or more planeswalkers that share a planeswalker type, that player chooses one of them and the rest are put into their owners’ graveyards as a state-based action.||+1: Draw a card. Target player puts the top card of his or her library into his or her graveyard.£0: Target player puts the top ten cards of his or her library into his or her graveyard.£-7: Any number of target players each draw twenty cards.||
Jaya Ballard, Task Mage|Media Inserts|MBP|Legendary Creature — Human Spellshaper|2|2||{1}{R}{R}|3|Matt Cavotta||R||18|R|||{R}, {T}, Discard a card: Destroy target blue permanent.£{1}{R}, {T}, Discard a card: Jaya Ballard, Task Mage deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.£{5}{R}{R}, {T}, Discard a card: Jaya Ballard deals 6 damage to each creature and each player.||
Knight Exemplar|Media Inserts|MBP|Creature — Human Knight|2|2||{1}{W}{W}|3|Jason Chan||W||46|R|"£8/15/2010: If an effect would simultaneously destroy <u>Knight Exemplar</u> and another Knight creature you control, only <u>Knight Exemplar</u> is destroyed.££7/1/2013: Lethal damage, damage from a source with deathtouch, and effects that say ""destroy"" won't cause a creature with indestructible to be put into the graveyard. However, a creature with indestructible can be put into the graveyard for a number of reasons. The most likely reasons are if it's sacrificed, if it's legendary and another legendary creature with the same name is controlled by the same player, or if its toughness is 0 or less.££7/1/2013: If another Knight creature you control is dealt lethal damage, the creature isn't destroyed, but the damage remains marked on it. If, at some point later in that turn, you no longer control <u>Knight Exemplar</u> or it loses its abilities, the other Knight creature will lose indestructible and will be destroyed.££7/1/2013: If you control two <u>Knight Exemplar</u>s, each one causes the other to get +1/+1 and have indestructible."||"First strike #_(This creature deals combat damage before creatures without first strike.)_#£Other Knight creatures you control get +1/+1 and have indestructible. #_(Damage and effects that say ""destroy"" don't destroy them.)_#"||
